timestamp_unix_seconds,time_ms,frame_index,eye_position_x,eye_position_y,eye_position_z,eye_orientation_x,eye_orientation_y,eye_orientation_z,eye_orientation_w,gaze_dir_x,gaze_dir_y,gaze_dir_z,plane_center_x,plane_center_y,plane_center_z,plane_normal_x,plane_normal_y,plane_normal_z,plane_width,plane_height,hit,in_out,reason,t,hit_x,hit_y,hit_z,plane_u,plane_v
1780011702.830741,6667.1,120,0.10542839765548706,0.783349871635437,0.25406432151794434,-0.5868040919303894,-0.08443789184093475,-0.11058643460273743,-0.7976853251457214,-0.26449486920885823,0.9174946206548248,-0.29706242648919445,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.221551464246053,-1.0111503047387367,4.656600630898689,-1.0,-1.0111503047387367,4.656600630898689
1780011702.879231,6715.6,121,0.10625387728214264,0.7818931341171265,0.25447940826416016,-0.5883190035820007,-0.08706755191087723,-0.10973910987377167,-0.7964028120040894,-0.26780486182566626,0.9179682763751232,-0.2926000675861526,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.287351737862444,-1.0419197624741396,4.717546019136604,-1.0,-1.0419197624741396,4.717546019136604
1780011702.939811,6776.2,122,0.10604190081357956,0.7803170084953308,0.2557773292064667,-0.5910503268241882,-0.08856711536645889,-0.10851413011550903,-0.7943803668022156,-0.26898655071336786,0.9198158860501013,-0.2856308304528623,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.396504842336016,-1.0765587719210046,4.824292005572195,-1.0,-1.0765587719210046,4.824292005572195
1780011702.989046,6825.4,123,0.10534629970788956,0.7789214849472046,0.25689008831977844,-0.5944340825080872,-0.0887901708483696,-0.10854755342006683,-0.7918217778205872,-0.2696607470172521,0.9220959103535782,-0.277528761801914,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.528864252336063,-1.1159106177167821,4.954968690572803,-1.0,-1.1159106177167821,4.954968690572803
1780011703.053160,6889.5,124,0.1037147045135498,0.7763274908065796,0.25844648480415344,-0.5997617244720459,-0.08627604693174362,-0.10885307192802429,-0.7880313396453857,-0.26654825237498037,0.9264791838239939,-0.26568468359442554,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.73661660799839,-1.1588221745187286,5.1647041798721025,-1.0,-1.1588221745187286,5.1647041798721025
1780011703.112881,6949.2,125,0.10245523601770401,0.7738140225410461,0.25894895195961,-0.6035634875297546,-0.08253782987594604,-0.11075447499752045,-0.7852592468261719,-0.26332189859594735,0.9296247370069807,-0.2577972576745685,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.883484655018517,-1.1834732151059468,5.313622160640261,-1.0,-1.1834732151059468,5.313622160640261
1780011703.160485,6996.9,126,0.10144650936126709,0.7714576721191406,0.2599159777164459,-0.6055876612663269,-0.08123820275068283,-0.11275940388441086,-0.7835493087768555,-0.2638796130556635,0.9306945988980844,-0.2533280746295746,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.9734557828173624,-1.2109470781580305,5.400226107045704,-1.0,-1.2109470781580305,5.400226107045704
1780011703.210411,7046.8,127,0.10075239092111588,0.7702066898345947,0.2608928382396698,-0.6069040894508362,-0.080945685505867,-0.11319968104362488,-0.7824966907501221,-0.26408215638912685,0.9314748161550263,-0.2502304568709192,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,5.038926332177455,-1.2299381407662602,5.463839668718311,-1.0,-1.2299381407662602,5.463839668718311
1780011703.273468,7109.8,128,0.0998443141579628,0.7687534093856812,0.2612915337085724,-0.6117812395095825,-0.07751750946044922,-0.11197125911712646,-0.7792156934738159,-0.25780957459696485,0.9360597043973106,-0.2394294322963486,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,5.267905125997359,-1.258272065392587,5.699827124419846,-1.0,-1.258272065392587,5.699827124419846
1780011703.333667,7170.0,129,0.09971528500318527,0.7677057981491089,0.26126304268836975,-0.6145710349082947,-0.0750386118888855,-0.11255273222923279,-0.7771766781806946,-0.25497980200309855,0.9383688958924382,-0.233343343149247,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,5.405181162085531,-1.2784967374962615,5.839759677313914,-1.0,-1.2784967374962615,5.839759677313914
