timestamp_unix_seconds,time_ms,frame_index,available_keys,eye_key_used,eye_available,eye_position_x,eye_position_y,eye_position_z,eye_orientation_x,eye_orientation_y,eye_orientation_z,eye_orientation_w,head_position_x,head_position_y,head_position_z,head_orientation_x,head_orientation_y,head_orientation_z,head_orientation_w
1780011699.303966,3140.3,54,eye,eye,True,-0.00407201424241066,1.08357834815979,-0.12097327411174774,-0.056413207203149796,0.2173536866903305,-0.10780077427625656,-0.9684802293777466,,,,,,,
1780011699.366696,3203.0,55,eye,eye,True,-0.019566189497709274,1.0893851518630981,-0.12557831406593323,-0.032037802040576935,0.2537234127521515,-0.10693108290433884,-0.9608140587806702,,,,,,,
1780011699.454787,3291.2,56,eye,eye,True,-0.026703275740146637,1.0994571447372437,-0.12522205710411072,0.0025229030288755894,0.254069447517395,-0.10092715173959732,-0.9619024395942688,,,,,,,
1780011699.643850,3480.2,57,eye,eye,True,-0.009237777441740036,1.1272075176239014,-0.10869789123535156,0.07303394377231598,0.13803182542324066,-0.060590483248233795,-0.9858713746070862,,,,,,,
1780011699.646957,3483.3,58,eye,eye,True,-0.00621921569108963,1.1292976140975952,-0.10750611126422882,0.07810049504041672,0.1247464194893837,-0.05596157908439636,-0.9875257015228271,,,,,,,
1780011699.656422,3492.8,59,eye,eye,True,8.06264579296112e-05,1.132699728012085,-0.10559980571269989,0.08558996021747589,0.09803496301174164,-0.045997872948646545,-0.99042809009552,,,,,,,
1780011699.742583,3578.9,60,eye,eye,True,0.021503493189811707,1.1363836526870728,-0.10162840783596039,0.08946453034877777,0.009482132270932198,-0.024430980905890465,-0.9956451654434204,,,,,,,
1780011699.755576,3591.9,61,eye,eye,True,0.024787526577711105,1.1361541748046875,-0.10155115276575089,0.08822672069072723,-0.004675449803471565,-0.022735336795449257,-0.9958299994468689,,,,,,,
1780011699.842525,3678.9,62,eye,eye,True,0.04015583172440529,1.1283601522445679,-0.10104292631149292,0.06023891270160675,-0.07249219715595245,-0.021803436800837517,-0.9953093528747559,,,,,,,
1780011699.850999,3687.4,63,eye,eye,True,0.04161417484283447,1.1262236833572388,-0.10099783539772034,0.052360083907842636,-0.08032866567373276,-0.02300361357629299,-0.9951264262199402,,,,,,,
1780011699.935097,3771.5,64,eye,eye,True,0.04308104142546654,1.1077334880828857,-0.10047141462564468,-0.007229487411677837,-0.1023426279425621,-0.03806442767381668,-0.993994414806366,,,,,,,
1780011699.947917,3784.3,65,eye,eye,True,0.04308104142546654,1.1077334880828857,-0.10047141462564468,-0.007229487411677837,-0.1023426279425621,-0.03806442767381668,-0.993994414806366,,,,,,,
1780011700.025148,3861.5,66,eye,eye,True,0.0366305410861969,1.0846363306045532,-0.10006768256425858,-0.08097533881664276,-0.0894738957285881,-0.05346742272377014,-0.9912511110305786,,,,,,,
1780011700.086872,3923.2,67,eye,eye,True,0.025978732854127884,1.0625507831573486,-0.09961125999689102,-0.1504911333322525,-0.055059514939785004,-0.06262741982936859,-0.985088050365448,,,,,,,
1780011700.147044,3983.4,68,eye,eye,True,0.015875114127993584,1.0432919263839722,-0.09744995832443237,-0.20620837807655334,-0.019623462110757828,-0.06601183861494064,-0.9760817289352417,,,,,,,
1780011700.198802,4035.2,69,eye,eye,True,0.012455632910132408,1.0323325395584106,-0.09494398534297943,-0.23619863390922546,-0.00833525788038969,-0.06663624197244644,-0.9693813920021057,,,,,,,
1780011700.258572,4094.9,70,eye,eye,True,0.010171638801693916,1.017987608909607,-0.09135764837265015,-0.27749451994895935,-0.0010666338494047523,-0.062462616711854935,-0.9586940407752991,,,,,,,
1780011700.315412,4151.8,71,eye,eye,True,0.009043771773576736,1.003801941871643,-0.08683939278125763,-0.3209674656391144,-3.4540455089882016e-05,-0.054803211241960526,-0.9455032348632812,,,,,,,
1780011700.362754,4199.1,72,eye,eye,True,0.008528057485818863,0.9982025027275085,-0.08424407243728638,-0.34247949719429016,-0.0011868877336382866,-0.04730149731040001,-0.9383330941200256,,,,,,,
1780011700.410310,4246.7,73,eye,eye,True,0.008424436673521996,0.9944820404052734,-0.08032562583684921,-0.35965684056282043,-0.004820925649255514,-0.03338975831866264,-0.9324746131896973,,,,,,,
1780011700.456666,4293.0,74,eye,eye,True,0.00680810771882534,0.9937070608139038,-0.07175719738006592,-0.3678084909915924,0.0002635860873851925,-0.03432852402329445,-0.9292677044868469,,,,,,,
1780011700.502830,4339.2,75,eye,eye,True,0.004798628389835358,0.9943987131118774,-0.06600932776927948,-0.3697332739830017,0.0034603362437337637,-0.033904191106557846,-0.9285126328468323,,,,,,,
1780011700.550809,4387.2,76,eye,eye,True,0.0006025936454534531,0.9954357147216797,-0.05184672772884369,-0.37271997332572937,0.006943949963897467,-0.03733902797102928,-0.9271663427352905,,,,,,,
1780011700.611795,4448.2,77,eye,eye,True,-0.0019772276282310486,0.9967597126960754,-0.0374041311442852,-0.36854875087738037,0.013520123437047005,-0.044932685792446136,-0.9284234642982483,,,,,,,
1780011700.661502,4497.9,78,eye,eye,True,-0.0055427029728889465,0.9996311664581299,-0.021278180181980133,-0.36252012848854065,0.026878701522946358,-0.06556189805269241,-0.9292783737182617,,,,,,,
1780011700.720529,4556.9,79,eye,eye,True,-0.009210407733917236,1.0004676580429077,-0.0029871538281440735,-0.3783879280090332,0.03552398085594177,-0.09069564938545227,-0.9205080270767212,,,,,,,
1780011700.766827,4603.2,80,eye,eye,True,-0.011960441246628761,0.9992658495903015,0.012429490685462952,-0.40738973021507263,0.0385417677462101,-0.10490287095308304,-0.9063904285430908,,,,,,,
1780011700.814827,4651.2,81,eye,eye,True,-0.01478610374033451,0.9957106113433838,0.029731683433055878,-0.4358871281147003,0.043158624321222305,-0.111812062561512,-0.8919853568077087,,,,,,,
1780011700.863925,4700.3,82,eye,eye,True,-0.016537614166736603,0.9861631989479065,0.05387738347053528,-0.4731397330760956,0.05257674679160118,-0.10860909521579742,-0.8726847171783447,,,,,,,
1780011700.911530,4747.9,83,eye,eye,True,-0.016128912568092346,0.9716677069664001,0.07821875810623169,-0.5095321536064148,0.06423783302307129,-0.09253063052892685,-0.8530466556549072,,,,,,,
1780011700.975218,4811.6,84,eye,eye,True,-0.01506807655096054,0.9610750675201416,0.09351959824562073,-0.5328139066696167,0.07068583369255066,-0.08027803152799606,-0.8394452333450317,,,,,,,
1780011701.034696,4871.1,85,eye,eye,True,-0.013139981776475906,0.9464117288589478,0.11019319295883179,-0.5606470108032227,0.08062301576137543,-0.05074624717235565,-0.8225568532943726,,,,,,,
1780011701.045654,4882.0,86,eye,eye,True,-0.011559836566448212,0.9420857429504395,0.11492036283016205,-0.566754162311554,0.08159402757883072,-0.04046321660280228,-0.8188374638557434,,,,,,,
1780011701.063303,4899.7,87,eye,eye,True,-0.010479971766471863,0.9400999546051025,0.11691088229417801,-0.5700717568397522,0.08191371709108353,-0.03609082102775574,-0.816704273223877,,,,,,,
1780011701.115041,4951.4,88,eye,eye,True,-0.006344728171825409,0.9342271089553833,0.12195755541324615,-0.5806697607040405,0.0840112715959549,-0.022934753447771072,-0.8094682693481445,,,,,,,
1780011701.177391,5013.8,89,eye,eye,True,0.004624221473932266,0.9231265187263489,0.12783659994602203,-0.588610053062439,0.10752774775028229,0.000542009249329567,-0.8012340068817139,,,,,,,
1780011701.239034,5075.4,90,eye,eye,True,0.017926931381225586,0.9123767018318176,0.1300862729549408,-0.5904755592346191,0.14008592069149017,0.016495388001203537,-0.7946336269378662,,,,,,,
1780011701.283873,5120.2,91,eye,eye,True,0.03335198014974594,0.9029008150100708,0.1339751034975052,-0.5864362120628357,0.16004173457622528,0.016849175095558167,-0.7938483953475952,,,,,,,
1780011701.332795,5169.2,92,eye,eye,True,0.046083878725767136,0.8956339955329895,0.1416354775428772,-0.5688988566398621,0.15676060318946838,0.02476058527827263,-0.8069493770599365,,,,,,,
1780011701.396731,5233.1,93,eye,eye,True,0.06820575892925262,0.8763754367828369,0.15783829987049103,-0.5508227944374084,0.10836078971624374,0.0019140271469950676,-0.8275558352470398,,,,,,,
1780011701.464168,5300.5,94,eye,eye,True,0.08683149516582489,0.8565161228179932,0.17043529450893402,-0.5654626488685608,0.031328801065683365,-0.04446980357170105,-0.822978138923645,,,,,,,
1780011701.518220,5354.6,95,eye,eye,True,0.10407137870788574,0.8358972072601318,0.18625424802303314,-0.5683377981185913,-0.061626993119716644,-0.08450403809547424,-0.816120982170105,,,,,,,
1780011701.563881,5400.2,96,eye,eye,True,0.10911672562360764,0.8259444236755371,0.19327104091644287,-0.5714206695556641,-0.08680158108472824,-0.09771467745304108,-0.810182511806488,,,,,,,
1780011701.616284,5452.6,97,eye,eye,True,0.11071626096963882,0.8174079060554504,0.19891226291656494,-0.5790448784828186,-0.0942281037569046,-0.10118186473846436,-0.8034864068031311,,,,,,,
1780011701.677161,5513.5,98,eye,eye,True,0.10927877575159073,0.808027982711792,0.2105739414691925,-0.573803186416626,-0.09943940490484238,-0.10098971426486969,-0.8066366910934448,,,,,,,
1780011701.723407,5559.8,99,eye,eye,True,0.10748596489429474,0.8044666647911072,0.21719911694526672,-0.5704982280731201,-0.09856902807950974,-0.10488608479499817,-0.8085882663726807,,,,,,,
1780011701.766426,5602.8,100,eye,eye,True,0.10502949357032776,0.8021625280380249,0.22340679168701172,-0.567947268486023,-0.09349921345710754,-0.10904981940984726,-0.8104331493377686,,,,,,,
1780011701.817448,5653.8,101,eye,eye,True,0.1015089675784111,0.8003018498420715,0.2295336127281189,-0.565830409526825,-0.08608672022819519,-0.11350664496421814,-0.8121214509010315,,,,,,,
1780011701.876048,5712.4,102,eye,eye,True,0.09459049999713898,0.7982807159423828,0.23882566392421722,-0.5655611753463745,-0.07436829060316086,-0.11763345450162888,-0.8128791451454163,,,,,,,
1780011701.922952,5759.3,103,eye,eye,True,0.0892038494348526,0.7971268892288208,0.24471476674079895,-0.5696231126785278,-0.06292823702096939,-0.11958594620227814,-0.8107211589813232,,,,,,,
1780011701.975519,5811.9,104,eye,eye,True,0.08649241924285889,0.7967578768730164,0.2475820630788803,-0.5717552900314331,-0.05661308392882347,-0.11765849590301514,-0.8099674582481384,,,,,,,
1780011702.033997,5870.4,105,eye,eye,True,0.07972745597362518,0.7957364916801453,0.25406956672668457,-0.5812726020812988,-0.033920083194971085,-0.11148174107074738,-0.805321991443634,,,,,,,
1780011702.093585,5929.9,106,eye,eye,True,0.07587186992168427,0.7957763671875,0.25692546367645264,-0.5883892178535461,-0.01504968199878931,-0.10856937617063522,-0.8011144399642944,,,,,,,
1780011702.138472,5974.8,107,eye,eye,True,0.07442322373390198,0.796099841594696,0.25855886936187744,-0.5896919369697571,-0.008564796298742294,-0.106726735830307,-0.800499677658081,,,,,,,
1780011702.230969,6067.3,108,eye,eye,True,0.07339885085821152,0.7986537218093872,0.2651616930961609,-0.5847644209861755,-0.00398249039426446,-0.0992245227098465,-0.8051021099090576,,,,,,,
